roll,pitch,yaw
4.241646714456317e-05,-1.7561845676693112e-05,-0.013444781157409746
4.241646714456317e-05,-1.7561845676693112e-05,-0.013444781157409746
4.876484036095112e-05,2.4865647949266697e-06,-0.013450953555611477
5.547457314406487e-05,1.0302965849036784e-05,-0.013451988639161715
5.4234481073454255e-05,2.6301798334250908e-05,-0.013463904668260088
5.1996915845912564e-05,3.785625583270107e-05,-0.013467877525142129
4.466741717634396e-05,5.762379090579815e-05,-0.013471871038132103
3.7808131229123266e-05,7.820039158796631e-05,-0.013471024047964159
2.5920874903436627e-05,0.00010348008713907968,-0.013475472051193158
3.269936497635302e-05,0.00012107562504171415,-0.013483337821146007
3.4637422712141244e-05,0.00012834534392506205,-0.01348953050186112
3.230282402375001e-05,0.00012749596751911255,-0.013489138253506967
3.208142345227455e-05,0.00013067326593758534,-0.013486914996298921
2.653338719840765e-05,0.00011835201030659672,-0.013491711017329686
2.7368104449590276e-05,0.00012016237377167074,-0.01349336481730606
2.244322404639944e-05,0.00011464477468033756,-0.013496991272553539
1.468428730536415e-05,0.00010453915194250825,-0.013506223860503893
1.468428730536415e-05,0.00010453915194250825,-0.013506223860503893
-1.2069443375858003e-05,0.00011055158593558722,-0.01351955506932366
-3.5418361653835485e-05,0.00010995969809128962,-0.013521298566675872
-3.310712067106178e-05,9.497617456953994e-05,-0.013525015620994426
-3.576248385725588e-05,8.739532601534685e-05,-0.013524478439036099
-3.065263007924943e-05,5.94893077903307e-05,-0.013534222568116828
-4.1734350584933775e-05,6.394466885722485e-05,-0.013531603471142184
-3.6302540293194176e-05,6.258892566227227e-05,-0.013541098435806784
-3.615574234643121e-05,6.354572627952807e-05,-0.013533420636696556
-2.7652001251392353e-05,6.009116288671215e-05,-0.01353379455890178
-2.2533095704315006e-05,5.266467010376127e-05,-0.013535121256410624
-1.6253141672814036e-05,4.2083635647249094e-05,-0.013535905726482542
-1.048603580936187e-05,2.2551905985560883e-05,-0.013541353810817745
1.0666937951628774e-06,2.8697682136784135e-06,-0.013556712078582903
9.623757603068656e-06,-2.3271565211525493e-05,-0.013555836316938408
5.9432564622087176e-06,-3.747570573449676e-05,-0.0135543135829187
4.803202148389629e-06,-5.524444116987213e-05,-0.01355072442997508
2.907209576676065e-06,-6.727189575902102e-05,-0.013562251600397479
6.08637216204174e-06,-7.631676274194077e-05,-0.013557805724003868
4.743133645403001e-06,-8.441309693552328e-05,-0.013558039753915514
8.69786822889528e-06,-9.425643055456108e-05,-0.013563361729829988
